et_min,et_max,eta_min,eta_max,had_et,eratio,rcore
-1000000000,12,0.0,0.6,0.2337,0.48,0.448
-1000000000,12,0.6,0.8,0.20976,0.448,0.48
-1000000000,12,0.8,1.15,0.1392,0.1295,0.5414
-1000000000,12,1.15,1.37,0.1872,0.0137,0.576
-1000000000,12,1.37,1.52,0.1315,-9999.0,0.352
-1000000000,12,1.52,1.81,0.3234,0.0122,0.608
-1000000000,12,1.81,2.01,0.384,0.512,0.576
-1000000000,12,2.01,2.37,0.1901,0.6073,0.608
-1000000000,12,2.37,2.47,0.1901,-9999.0,0.55
12,22,0.0,0.6,0.0871,0.5702,0.6646
12,22,0.6,0.8,0.0617,0.6063,0.659
12,22,0.8,1.15,0.0564,0.4418,0.6226
12,22,1.15,1.37,0.0827,0.4257,0.6539
12,22,1.37,1.52,0.0889,-9999.0,0.4704
12,22,1.52,1.81,0.2052,0.3408,0.6536
12,22,1.81,2.01,0.1674,0.5836,0.6972
12,22,2.01,2.37,0.1481,0.68,0.6817
12,22,2.37,2.47,0.1481,-999.0,0.672
22,1000000000,0.0,0.6,0.0612,-999.0,0.6912
22,1000000000,0.6,0.8,0.0588,-999.0,0.6808
22,1000000000,0.8,1.15,0.0564,-999.0,0.6832
22,1000000000,1.15,1.37,0.0504,-999.0,0.6744
22,1000000000,1.37,1.52,0.0357,-999.0,0.5976
22,1000000000,1.52,1.81,0.072,-999.0,0.6416
22,1000000000,1.81,2.01,0.0684,-999.0,0.692
22,1000000000,2.01,2.37,0.0696,-999.0,0.6848
22,1000000000,2.37,2.47,0.0636,-999.0,0.68
