et_min,et_max,eta_min,eta_max,had_et,eratio,rcore
-1000000000,12,0.0,0.6,0.2337,0.48,0.6806
-1000000000,12,0.6,0.8,0.2097,0.448,0.671
-1000000000,12,0.8,1.15,0.1392,0.1295,0.6306
-1000000000,12,1.15,1.37,0.1872,0.0137,0.6619
-1000000000,12,1.37,1.52,0.1255,-9999.0,0.4704
-1000000000,12,1.52,1.81,0.3234,0.0122,0.7094
-1000000000,12,1.81,2.01,0.384,0.512,0.7012
-1000000000,12,2.01,2.37,0.1901,0.6073,0.6977
-1000000000,12,2.37,2.47,0.1901,-9999.0,0.696
12,22,0.0,0.6,0.08472,0.5702,0.6806
12,22,0.6,0.8,0.05928,0.6063,0.671
12,22,0.8,1.15,0.054,0.4418,0.6306
12,22,1.15,1.37,0.0803,0.4257,0.6619
12,22,1.37,1.52,0.0829,-9999.0,0.4704
12,22,1.52,1.81,0.1932,0.3408,0.6616
12,22,1.81,2.01,0.159,0.5836,0.7012
12,22,2.01,2.37,0.1384,0.68,0.6977
12,22,2.37,2.47,0.1384,-999.0,0.696
22,1000000000,0.0,0.6,0.0588,-999.0,0.7112
22,1000000000,0.6,0.8,0.0564,-999.0,0.6968
22,1000000000,0.8,1.15,0.054,-999.0,0.6952
22,1000000000,1.15,1.37,0.048,-999.0,0.6864
22,1000000000,1.37,1.52,0.0297,-999.0,0.5976
22,1000000000,1.52,1.81,0.06,-999.0,0.6616
22,1000000000,1.81,2.01,0.06,-999.0,0.704
22,1000000000,2.01,2.37,0.06,-999.0,0.7008
22,1000000000,2.37,2.47,0.054,-999.0,0.696
