et_min,et_max,eta_min,eta_max,had_et,eratio,rcore
-1000000000,12,0.0,0.6,0.1872,0.48,0.448
-1000000000,12,0.6,0.8,0.1824,0.448,0.48
-1000000000,12,0.8,1.15,0.1392,0.288,0.544
-1000000000,12,1.15,1.37,0.1872,0.192,0.576
-1000000000,12,1.37,1.52,0.08196,-9999.0,0.352
-1000000000,12,1.52,1.81,0.2497,0.0176,0.608
-1000000000,12,1.81,2.01,0.384,0.512,0.576
-1000000000,12,2.01,2.37,0.19008,0.608,0.608
-1000000000,12,2.37,2.47,0.19008,-9999.0,0.598
12,22,0.0,0.6,0.0588,0.636,0.69896
12,22,0.6,0.8,0.0564,0.6064,0.68416
12,22,0.8,1.15,0.054,0.5552,0.64368
12,22,1.15,1.37,0.048,0.476,0.68488
12,22,1.37,1.52,0.06384,-9999.0,0.4704
12,22,1.52,1.81,0.17868,0.5536,0.6816
12,22,1.81,2.01,0.1284,0.664,0.704
12,22,2.01,2.37,0.07536,0.68,0.6992
12,22,2.37,2.47,0.07536,-9999.0,0.6992
22,1000000000,0.0,0.6,0.0588,0.656,0.716
22,1000000000,0.6,0.8,0.0564,0.66,0.712
22,1000000000,0.8,1.15,0.054,0.6,0.6952
22,1000000000,1.15,1.37,0.048,0.604,0.692
22,1000000000,1.37,1.52,0.02376,-9999.0,0.5976
22,1000000000,1.52,1.81,0.06,0.624,0.6816
22,1000000000,1.81,2.01,0.06,0.664,0.7168
22,1000000000,2.01,2.37,0.06,0.692,0.7128
22,1000000000,2.37,2.47,0.054,-9999.0,0.716
