et_min,et_max,eta_min,eta_max,had_et,eratio,rcore
-1000000000,12,0.0,0.6,0.1872,-9999.0,-9999.0
-1000000000,12,0.6,0.8,0.1824,-9999.0,-9999.0
-1000000000,12,0.8,1.15,0.1392,-9999.0,-9999.0
-1000000000,12,1.15,1.37,0.1872,-9999.0,-9999.0
-1000000000,12,1.37,1.52,0.06864,-9999.0,-9999.0
-1000000000,12,1.52,1.81,0.24972,-9999.0,-9999.0
-1000000000,12,1.81,2.01,0.31368,-9999.0,-9999.0
-1000000000,12,2.01,2.37,0.1872,-9999.0,-9999.0
-1000000000,12,2.37,2.47,0.168,-9999.0,-9999.0
12,22,0.0,0.6,0.0588,-9999.0,-9999.0
12,22,0.6,0.8,0.0564,-9999.0,-9999.0
12,22,0.8,1.15,0.054,-9999.0,-9999.0
12,22,1.15,1.37,0.048,-9999.0,-9999.0
12,22,1.37,1.52,0.04368,-9999.0,-9999.0
12,22,1.52,1.81,0.15612,-9999.0,-9999.0
12,22,1.81,2.01,0.11064,-9999.0,-9999.0
12,22,2.01,2.37,0.07536,-9999.0,-9999.0
12,22,2.37,2.47,0.07536,-9999.0,-9999.0
22,1000000000,0.0,0.6,0.0588,-9999.0,-9999.0
22,1000000000,0.6,0.8,0.0564,-9999.0,-9999.0
22,1000000000,0.8,1.15,0.054,-9999.0,-9999.0
22,1000000000,1.15,1.37,0.048,-9999.0,-9999.0
22,1000000000,1.37,1.52,0.02376,-9999.0,-9999.0
22,1000000000,1.52,1.81,0.06,-9999.0,-9999.0
22,1000000000,1.81,2.01,0.06,-9999.0,-9999.0
22,1000000000,2.01,2.37,0.06,-9999.0,-9999.0
22,1000000000,2.37,2.47,0.054,-9999.0,-9999.0
