et_min,et_max,eta_min,eta_max,had_et,eratio,rcore
-1000000000,12,0.0,0.6,0.1872,0.48,0.448
-1000000000,12,0.6,0.8,0.1824,0.448,0.48
-1000000000,12,0.8,1.15,0.1392,0.288,0.544
-1000000000,12,1.15,1.37,0.1872,0.192,0.576
-1000000000,12,1.37,1.52,0.06864,-9999.0,0.352
-1000000000,12,1.52,1.81,0.24972,0.256,0.608
-1000000000,12,1.81,2.01,0.31368,0.512,0.576
-1000000000,12,2.01,2.37,0.1872,0.608,0.608
-1000000000,12,2.37,2.47,0.168,-9999.0,0.598
12,22,0.0,0.6,0.0588,0.636,0.71296
12,22,0.6,0.8,0.0564,0.652,0.69344
12,22,0.8,1.15,0.054,0.5552,0.64368
12,22,1.15,1.37,0.048,0.4768,0.69064
12,22,1.37,1.52,0.04368,-9999.0,0.4704
12,22,1.52,1.81,0.15612,0.6056,0.7036
12,22,1.81,2.01,0.11064,0.6696,0.73024
12,22,2.01,2.37,0.07536,0.7128,0.7164
12,22,2.37,2.47,0.07536,-9999.0,0.7164
22,1000000000,0.0,0.6,0.0588,0.72,0.7288
22,1000000000,0.6,0.8,0.0564,0.712,0.7296
22,1000000000,0.8,1.15,0.054,0.68,0.72
22,1000000000,1.15,1.37,0.048,0.672,0.7048
22,1000000000,1.37,1.52,0.02376,-9999.0,0.6
22,1000000000,1.52,1.81,0.06,0.68,0.7128
22,1000000000,1.81,2.01,0.06,0.716,0.7312
22,1000000000,2.01,2.37,0.06,0.74,0.7256
22,1000000000,2.37,2.47,0.054,-9999.0,0.7192
